"","Year","County","PDSI"
"1",2000,"Collin",-1.79916666666667
"2",2001,"Collin",2.11916666666667
"3",2002,"Collin",1.3775
"4",2003,"Collin",-0.605833333333333
"5",2004,"Collin",1.8775
"6",2005,"Collin",-0.6425
"7",2006,"Collin",-3.69166666666667
"8",2007,"Collin",2.14
"9",2008,"Collin",-1.3575
"10",2009,"Collin",-1.19916666666667
"11",2010,"Collin",0.426666666666667
"12",2011,"Collin",-3.94583333333333
"13",2012,"Collin",-2.355
"14",2013,"Collin",-2.79
"15",2014,"Collin",-1.00916666666667
"16",2015,"Collin",2.9175
"17",2016,"Collin",4.55666666666667
"18",2000,"Dallas",-1.79916666666667
"19",2001,"Dallas",2.11916666666667
"20",2002,"Dallas",1.3775
"21",2003,"Dallas",-0.605833333333333
"22",2004,"Dallas",1.8775
"23",2005,"Dallas",-0.6425
"24",2006,"Dallas",-3.69166666666667
"25",2007,"Dallas",2.14
"26",2008,"Dallas",-1.3575
"27",2009,"Dallas",-1.19916666666667
"28",2010,"Dallas",0.426666666666667
"29",2011,"Dallas",-3.94583333333333
"30",2012,"Dallas",-2.355
"31",2013,"Dallas",-2.79
"32",2014,"Dallas",-1.00916666666667
"33",2015,"Dallas",2.9175
"34",2016,"Dallas",4.55666666666667
"35",2000,"Hunt",-1.79916666666667
"36",2001,"Hunt",2.11916666666667
"37",2002,"Hunt",1.3775
"38",2003,"Hunt",-0.605833333333333
"39",2004,"Hunt",1.8775
"40",2005,"Hunt",-0.6425
"41",2006,"Hunt",-3.69166666666667
"42",2007,"Hunt",2.14
"43",2008,"Hunt",-1.3575
"44",2009,"Hunt",-1.19916666666667
"45",2010,"Hunt",0.426666666666667
"46",2011,"Hunt",-3.94583333333333
"47",2012,"Hunt",-2.355
"48",2013,"Hunt",-2.79
"49",2014,"Hunt",-1.00916666666667
"50",2015,"Hunt",2.9175
"51",2016,"Hunt",4.55666666666667
"52",2000,"Kaufman",-1.79916666666667
"53",2001,"Kaufman",2.11916666666667
"54",2002,"Kaufman",1.3775
"55",2003,"Kaufman",-0.605833333333333
"56",2004,"Kaufman",1.8775
"57",2005,"Kaufman",-0.6425
"58",2006,"Kaufman",-3.69166666666667
"59",2007,"Kaufman",2.14
"60",2008,"Kaufman",-1.3575
"61",2009,"Kaufman",-1.19916666666667
"62",2010,"Kaufman",0.426666666666667
"63",2011,"Kaufman",-3.94583333333333
"64",2012,"Kaufman",-2.355
"65",2013,"Kaufman",-2.79
"66",2014,"Kaufman",-1.00916666666667
"67",2015,"Kaufman",2.9175
"68",2016,"Kaufman",4.55666666666667
"69",2000,"Rockwall",-1.79916666666667
"70",2001,"Rockwall",2.11916666666667
"71",2002,"Rockwall",1.3775
"72",2003,"Rockwall",-0.605833333333333
"73",2004,"Rockwall",1.8775
"74",2005,"Rockwall",-0.6425
"75",2006,"Rockwall",-3.69166666666667
"76",2007,"Rockwall",2.14
"77",2008,"Rockwall",-1.3575
"78",2009,"Rockwall",-1.19916666666667
"79",2010,"Rockwall",0.426666666666667
"80",2011,"Rockwall",-3.94583333333333
"81",2012,"Rockwall",-2.355
"82",2013,"Rockwall",-2.79
"83",2014,"Rockwall",-1.00916666666667
"84",2015,"Rockwall",2.9175
"85",2016,"Rockwall",4.55666666666667
